관리기관명,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치년월,관리기관전화번호,위도,경도,데이터기준일자
경상남도 거제시청,거제면 동상리 545-1(거제초등학교 앞),어린이보호구역,2,200,70도,30일,2013-12-01,055-639-3683,34.8507447,128.5913124,2025-11-04
경상남도 거제시청,고현동 164,초등학교,4,200,70도,30일,2013-06-01,055-639-3683,34.88115277,128.6246,2025-11-04
경상남도 거제시청,고현동 996,초등학교,4,200,70도,30일,2013-06-01,055-639-3683,34.89487882,128.6297578,2025-11-04
경상남도 거제시청,일운면 342(와현해수욕장),방범,2,200,70도,30일,2015-07-01,055-639-3683,34.813572,128.708184,2025-11-04
경상남도 거제시청,일운면 42-17(구조라유람선선착장앞),방범,2,200,70도,30일,2015-07-01,055-639-3683,34.80495212,128.6949543,2025-11-04
경상남도 거제시청,일운면 옥림리 235-4,쓰레기투기감시,2,200,70도,30일,2015-07-01,055-639-3683,34.8497,128.7193,2025-11-04
경상남도 거제시청,장평동 386(녹지완충구간),방범,5,200,70도,30일,2015-07-01,055-639-3683,34.8888,128.6127333,2025-11-04
경상남도 거제시청,하청면 236-4(석포교회입구),방범,2,200,70도,30일,2015-07-01,055-639-3683,34.9487,128.5994,2025-11-04
경상남도 거제시청,장평동 장평1로7길 18(안데르센어린이집앞),쓰레기투기감시,2,200,70도,30일,2015-07-01,055-639-3683,34.8939695,128.614743,2025-11-04
경상남도 거제시청,동부면 990(연담삼거리),방범,3,200,70도,30일,2015-07-01,055-639-3683,34.8103,128.6296,2025-11-04
경상남도 거제시청,능포동 480-44(능포물량장),방범,6,200,70도,30일,2019-08-01,055-639-3683,34.88448126,128.7375593,2025-11-04
경상남도 거제시청,고현동 947-5(고현유치원 앞),어린이보호구역,2,200,70도,30일,2019-08-01,055-639-3683,34.881986,128.619224,2025-11-04
경상남도 거제시청,일운면 와현리 425-1도(요거프레스 앞),쓰레기투기감시,2,200,70도,30일,2019-08-01,055-639-3683,34.813699,128.7073,2025-11-04
경상남도 거제시청,"장승포동 265-11, 우진빌라트 오르막길",방범,2,200,70도,30일,2019-07-01,055-639-3683,34.86851739,128.7319932,2025-11-04
경상남도 거제시청,"장승포로13길 8-1, 매미민박골목",방범,2,200,70도,30일,2019-07-01,055-639-3683,34.863259,128.730101,2025-11-04
경상남도 거제시청,"장승포로 101, 청호횟집 주변",방범,2,200,70도,30일,2019-07-01,055-639-3683,34.86334431,128.7293002,2025-11-04
경상남도 거제시청,"장승포로5길 28, 예그리나 원룸 앞",방범,3,200,70도,30일,2019-07-01,055-639-3683,34.86780779,128.7311812,2025-11-04
경상남도 거제시청,"장승포로 93-1, 더럭스관광호텔 앞",방범,2,200,70도,30일,2019-07-01,055-639-3683,34.863893,128.730548,2025-11-04
경상남도 거제시청,"신부로3길 15, 만민교회 인근",방범,2,200,70도,30일,2019-07-01,055-639-3683,34.86819432,128.7300979,2025-11-04
경상남도 거제시청,옥포1동 557(현대블루핸즈앞),방범,8,200,70도,30일,2015-07-01,055-639-3683,34.8878,128.6922,2025-11-04
경상남도 거제시청,고현동 1104-1(장평 유림노르웨이숲 앞 고현항재개발 입구 사거리),주정차단속,4,200,70도,30일,2018-11-01,055-639-3683,34.8921,128.6172,2025-11-04
경상남도 거제시청,연초면 오비리 657-1,초등학교,4,200,70도,30일,2013-12-01,055-639-3683,34.9226,128.6226,2025-11-04
경상남도 거제시청,옥포1동 539-1,초등학교,4,200,70도,30일,2012-02-01,055-639-3683,34.8923,128.6898,2025-11-04
